Perfil,Algoritmo,Semilla,Pasos,Distancia_km,Area_Covered_km2,Likelihood_Score,Acierto_Informada,Acierto_Ciega
autista,expanding_sq,44,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,45,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,46,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,47,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,48,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,49,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,5,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,6,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,7,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,8,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
autista,expanding_sq,9,1001,10.038994949366117,0.28656345384367055,0.06719239197211387,6.1,2.4
demencia,voraz-heur,0,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,1,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,10,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,11,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,12,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,13,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,14,761,9.859179643685897,0.08367019620585701,0.04188201897746403,4.3999999999999995,0.4
demencia,voraz-heur,15,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,16,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,17,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,18,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,19,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,2,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,20,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,21,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,22,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,23,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,24,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,25,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,26,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,27,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,28,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,29,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,3,370,4.648549057834395,0.05230153835767309,0.027388953040070062,2.3,0.3
demencia,voraz-heur,30,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,31,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,32,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,33,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,34,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,35,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,36,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,37,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,38,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,39,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,4,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,40,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,41,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,42,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,43,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,44,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,45,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,46,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,47,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,48,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,49,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,5,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,6,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,7,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,8,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,voraz-heur,9,1000,12.63854039231666,0.10183746960646922,0.048359394746404785,5.5,0.8
demencia,ACO,0,926,11.202661607529844,0.15245278911834537,0.04947379720183258,4.5,1.7000000000000002
demencia,ACO,1,1000,12.174621202458805,0.21614065236486468,0.07063121503799094,7.6,1.6
demencia,ACO,10,1000,12.066925676241793,0.1423300292572413,0.03790572936643936,3.0,1.3
demencia,ACO,11,1000,12.095920625607908,0.2180997596236098,0.09268591634225021,8.1,1.4000000000000001
demencia,ACO,12,1000,12.182905473706265,0.1658668692114548,0.06717592984120745,8.0,1.0999999999999999
demencia,ACO,13,1000,12.008935777509553,0.20139512652842775,0.04403203062383145,3.5000000000000004,1.3
demencia,ACO,14,1000,12.141484117468961,0.1893870114374712,0.07579786249842822,7.000000000000001,1.3
demencia,ACO,15,1000,12.091778489984183,0.17870388756599387,0.07788713230383176,8.4,1.2
demencia,ACO,16,1000,12.170479066835068,0.1957790697718659,0.06853875744136483,6.7,1.3
demencia,ACO,17,1000,12.145626253092678,0.15450801188159963,0.05427432107624752,4.8,1.3
demencia,ACO,18,961,11.672783540618054,0.18970430565409813,0.07756813042423663,8.200000000000001,1.6
demencia,ACO,19,1000,12.104204896855368,0.19324074407973388,0.061329243450746404,6.2,1.3
demencia,ACO,2,1000,12.253321779309685,0.18267896048114704,0.07417915388587103,6.9,1.5
demencia,ACO,20,1000,12.091778489984176,0.160216417588125,0.07721961849762822,7.9,1.0
demencia,ACO,21,1000,12.21190042307238,0.18359727328543785,0.07777478639574857,7.199999999999999,1.6
demencia,ACO,22,1000,12.104204896855382,0.12558777680422448,0.06396295823218454,5.8999999999999995,0.6
demencia,ACO,23,1000,12.282316728675807,0.20420979603868197,0.09167002026783395,8.6,1.4000000000000001
demencia,ACO,24,1000,12.203616151824923,0.16749142009746104,0.07725039270995192,8.0,1.0
